"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"11/08/2021","NY","Niagara Falls","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.niagara-gazette.com/news/crime/fatal-fire-investigated-on-willow-avenue/article_1388ef8a-4179-11ec-adc8-733c7dcb8aab.html"
"11/07/2021","NY","Mamaroneck","Under investigation","A 33-year-old man died in a house fire.","Male","33","Unknown","","N","Not reported","Not reported","https://larchmontloop.com/fire-kills-one-in-mamaroneck-sunday/"
"11/06/2021","NY","Millerton (Dutchess County)","Under investigation","A 24-year-old woman and 30-year-old man died in a house fire.","Male","30","Unknown","1 of 2","N","Not reported","Not reported","https://dailyvoice.com/new-york/mountpleasant/police-fire/massive-fire-kills-two-trapped-in-hudson-valley-home/819616/"
"11/06/2021","NY","Millerton (Dutchess County)","Under investigation","A 24-year-old woman and 30-year-old man died in a house fire.","Female","24","Unknown","2 of 2","N","Not reported","Not reported","https://dailyvoice.com/new-york/mountpleasant/police-fire/massive-fire-kills-two-trapped-in-hudson-valley-home/819616/"
"11/05/2021","NY","Bronx, New York","Under investigation","A six-year-old boy died in an apartment fire.","Male","6","Children (14 and under)","","N","Multifamily","Not reported","https://pix11.com/news/local-news/bronx/6-year-old-boy-dead-man-critically-injured-in-bronx-apartment-fire-authorities/"
"10/31/2021","NY","Town of Evans","Under investigation","A woman died in a townhouse fire.","Female","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://www.wgrz.com/article/news/local/woman-dies-in-town-of-evans-fire/71-ae4a3fe4-b964-425d-8aa6-5358cf23a8d6"
"10/30/2021","NY","Washington Heights (New York City)","Under investigation","A 7-year-old boy died in an apartment fire.","Male","7","Children (14 and under)","","N","Multifamily","Not reported","https://www.foxnews.com/us/boy-dies-fire-fdny-mandate-sick-outs"
"10/23/2021","NY","Tupper Lake","Under investigation","Two people died in a camper fire.","Male","53","Unknown","1 of 2","N","Camper/RV/travel trailer","Not reported","https://www.news10.com/news/2-campers-dead-after-a-fatal-fire-in-tupper-lake/"
"10/23/2021","NY","Tupper Lake","Under investigation","Two people died in a camper fire.","Unknown","48","Unknown","2 of 2","N","Camper/RV/travel trailer","Not reported","https://www.news10.com/news/2-campers-dead-after-a-fatal-fire-in-tupper-lake/"
"10/20/2021","NY","Brooklyn","Under investigation","An 84 year-old woman died during an apartment fire.","Female","84","Older adults (65 and older)","","N","Multifamily","Not reported","https://www.nydailynews.com/new-york/ny-fatal-brooklyn-brownstone-fire-20211020-kgngczv5dncjhkjdmxjgoazaym-story.html"
"10/02/2021","NY","Alma (Allegany County)","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","Not reported","Not reported","https://www.wgrz.com/article/news/local/new-york-state-police-investigating-house-fire-explosion-in-allegany-county/71-e4b3ad25-3a31-4d5d-9f5f-5f672031a868"
